iter	Passed	Remaining
402	10205	15117
403	10225	15085
404	10247	15055
405	10269	15024
406	10291	14994
407	10312	14963
408	10336	14935
409	10359	14907
410	10382	14879
411	10404	14848
412	10427	14820
413	10446	14787
414	10468	14756
415	10494	14732
416	10515	14700
417	10540	14675
418	10560	14643
419	10580	14611
420	10608	14590
421	10632	14563
422	10657	14537
423	10679	14508
424	10703	14481
425	10728	14455
426	10748	14424
427	10772	14397
428	10798	14373
429	10823	14347
430	10847	14320
431	10869	14291
432	10893	14265
433	10925	14248
434	10981	14263
435	11030	14269
436	11087	14284
437	11127	14278
438	11160	14262
439	11189	14240
440	11210	14209
441	11235	14184
442	11255	14151
443	11277	14122
444	11298	14092
445	11318	14059
446	11341	14030
447	11362	14000
448	11385	13972
449	11406	13941
450	11428	13912
451	11453	13885
452	11475	13856
453	11497	13827
454	11519	13798
455	11541	13768
456	11563	13739
457	11587	13712
458	11609	13682
459	11634	13658
460	11658	13630
461	11681	13603
462	11701	13571
463	11724	13544
464	11751	13520
465	11775	13493
466	11799	13467
467	11818	13434
468	11842	13407
469	11865	13380
470	11886	13350
471	11906	13319
472	11934	13297
473	11957	13268
474	11978	13239
475	11999	13209
476	12020	13179
477	12045	13154
478	12068	13126
479	12094	13102
480	12115	13073
481	12137	13043
482	12162	13018
483	12182	12988
484	12205	12960
485	12228	12933
486	12251	12905
487	12275	12879
488	12297	12851
489	12321	12824
490	12344	12797
491	12365	12767
492	12386	12738
493	12410	12712
494	12431	12683
495	12451	12652
496	12479	12630
497	12502	12602
498	12522	12572
499	12542	12542
500	12564	12514
501	12593	12493
502	12618	12467
503	12640	12440
504	12664	12413
505	12690	12389
506	12712	12361
507	12737	12336
508	12758	12307
509	12781	12280
510	12809	12257
511	12832	12230
512	12853	12202
513	12876	12174
514	12898	12147
515	12923	12122
516	12947	12095
517	12969	12068
518	12995	12044
519	13021	12019
520	13045	11993
521	13068	11966
522	13088	11937
523	13112	11911
524	13135	11884
525	13157	11856
526	13184	11833
527	13234	11830
528	13284	11827
529	13335	11826
530	13389	11825
531	13424	11809
532	13458	11791
533	13484	11767
534	13513	11745
535	13539	11720
536	13562	11693
537	13584	11665
538	13607	11637
539	13633	11613
540	13653	11584
541	13673	11554
542	13697	11528
543	13720	11500
544	13740	11471
545	13766	11446
546	13787	11418
547	13807	11388
548	13830	11361
549	13852	11334
550	13874	11305
551	13895	11277
552	13918	11250
553	13940	11222
554	13965	11197
555	13990	11172
556	14009	11142
557	14033	11116
558	14053	11087
559	14075	11059
560	14099	11033
561	14119	11004
562	14142	10977
563	14169	10953
564	14194	10928
565	14217	10901
566	14236	10872
567	14259	10845
568	14281	10817
569	14304	10791
570	14327	10764
571	14349	10736
572	14374	10712
573	14396	10684
574	14417	10656
575	14440	10630
576	14462	10602
577	14489	10578
578	14513	10552
579	14532	10523
580	14556	10497
581	14581	10472
582	14607	10447
583	14628	10420
584	14649	10392
585	14671	10365
586	14692	10337
587	14714	10310
588	14737	10283
589	14758	10255
590	14781	10229
591	14806	10204
592	14825	10175
593	14851	10151
594	14870	10122
595	14892	10094
596	14918	10070
597	14940	10043
598	14967	10020
599	14998	9999
600	15025	9975
601	15049	9949
602	15071	9922
603	15091	9894
604	15114	9867
605	15135	9840
606	15158	9814
607	15181	9788
608	15204	9762
609	15225	9734
610	15248	9707
611	15272	9682
612	15296	9657
613	15316	9629
614	15340	9603
615	15369	9580
616	15391	9554
617	15414	9528
618	15435	9500
619	15463	9477
620	15519	9471
621	15568	9461
622	15618	9451
623	15656	9433
624	15695	9417
625	15722	9393
626	15748	9368
627	15778	9346
628	15803	9321
629	15826	9294
630	15849	9268
631	15871	9241
632	15895	9215
633	15917	9189
634	15942	9163
635	15963	9136
636	15987	9110
637	16014	9086
638	16042	9063
639	16064	9036
640	16087	9010
641	16112	8984
642	16132	8957
643	16152	8928
644	16179	8905
645	16200	8877
646	16223	8851
647	16246	8825
648	16266	8797
649	16289	8771
650	16313	8745
651	16333	8717
652	16354	8690
653	16375	8663
654	16398	8637
655	16423	8612
656	16447	8586
657	16471	8561
658	16493	8534
659	16517	8509
660	16542	8484
661	16567	8459
662	16595	8435
663	16619	8409
664	16640	8382
665	16660	8355
666	16686	8330
667	16707	8303
668	16732	8278
669	16755	8252
670	16775	8225
671	16797	8198
672	16819	8172
673	16848	8149
674	16873	8124
675	16893	8096
676	16915	8070
677	16942	8046
678	16966	8021
679	16994	7997
680	17018	7971
681	17040	7945
682	17063	7919
683	17083	7892
684	17104	7865
685	17126	7839
686	17151	7814
687	17175	7789
688	17196	7762
689	17218	7735
690	17239	7709
691	17261	7682
692	17282	7656
693	17305	7630
694	17327	7604
695	17414	7606
696	17474	7596
697	17496	7570
698	17517	7543
699	17540	7517
700	17562	7491
701	17585	7465
702	17605	7437
703	17629	7412
704	17652	7386
705	17677	7361
706	17698	7334
707	17719	7307
708	17750	7285
709	17818	7278
710	17862	7260
711	17916	7247
712	17954	7227
713	17988	7205
714	18019	7182
715	18042	7156
716	18063	7129
717	18083	7102
718	18109	7077
719	18130	7050
720	18151	7023
721	18174	6997
722	18196	6971
723	18220	6945
724	18242	6919
725	18267	6894
726	18289	6867
727	18311	6841
728	18331	6814
729	18354	6788
730	18373	6761
731	18394	6734
732	18416	6708
733	18441	6683
734	18464	6657
735	18486	6631
736	18506	6604
737	18527	6577
738	18548	6550
739	18574	6526
740	18598	6500
741	18625	6476
742	18648	6450
743	18673	6425
744	18695	6399
745	18719	6373
746	18744	6348
747	18768	6323
748	18788	6296
749	18811	6270
750	18837	6245
751	18862	6220
752	18884	6194
753	18904	6167
754	18928	6142
755	18952	6117
756	18973	6090
757	18993	6063
758	19021	6039
759	19045	6014
760	19069	5988
761	19092	5963
762	19115	5937
763	19139	5912
764	19162	5886
765	19186	5861
766	19206	5834
767	19228	5808
768	19250	5782
769	19271	5756
770	19294	5730
771	19317	5705
772	19338	5679
773	19361	5653
774	19385	5628
775	19412	5603
776	19434	5577
777	19456	5551
778	19480	5526
779	19502	5500
780	19522	5474
781	19546	5448
782	19570	5423
783	19594	5398
784	19615	5372
785	19636	5346
786	19660	5321
787	19683	5295
788	19708	5270
789	19728	5244
790	19751	5218
791	19776	5193
792	19798	5167
793	19824	5143
794	19843	5116
795	19865	5091
796	19888	5065
797	19909	5039
798	19931	5014
799	19951	4987
800	19973	4962
801	19995	4936
802	20022	4912
803	20072	4893
804	20125	4875
805	20178	4856
806	20226	4837
807	20263	4815
808	20290	4790
809	20319	4766
810	20344	4741
811	20369	4716
812	20390	4689
813	20413	4664
814	20438	4639
815	20459	4613
816	20479	4587
817	20503	4561
818	20526	4536
819	20549	4510
820	20572	4485
821	20599	4460
822	20619	4434
823	20642	4409
824	20666	4383
825	20690	4358
826	20711	4332
827	20737	4307
828	20758	4281
829	20779	4256
830	20800	4230
831	20820	4204
832	20846	4179
833	20868	4153
834	20892	4128
835	20917	4103
836	20938	4077
837	20962	4052
838	20983	4026
839	21008	4001
840	21029	3975
841	21051	3950
842	21073	3924
843	21096	3899
844	21120	3874
845	21142	3848
846	21167	3823
847	21191	3798
848	21214	3773
849	21239	3748
850	21262	3722
851	21286	3697
852	21311	3672
853	21334	3647
854	21359	3622
855	21379	3596
856	21406	3571
857	21425	3545
858	21448	3520
859	21470	3495
860	21494	3470
861	21519	3445
862	21542	3419
863	21564	3394
864	21590	3369
865	21612	3344
866	21632	3318
867	21656	3293
868	21676	3267
869	21698	3242
870	21719	3216
871	21741	3191
872	21763	3166
873	21786	3140
874	21813	3116
875	21836	3091
876	21859	3065
877	21885	3041
878	21907	3015
879	21929	2990
880	21951	2965
881	21973	2939
882	21995	2914
883	22019	2889
884	22042	2864
885	22066	2839
886	22097	2815
887	22120	2789
888	22140	2764
889	22163	2739
890	22190	2714
891	22210	2689
892	22233	2664
893	22254	2638
894	22277	2613
895	22315	2590
896	22382	2570
897	22428	2547
898	22484	2526
899	22521	2502
900	22562	2479
901	22584	2453
902	22612	2429
903	22636	2403
904	22661	2378
905	22685	2353
906	22705	2328
907	22729	2302
908	22751	2277
909	22776	2252
910	22799	2227
911	22821	2202
912	22845	2176
913	22869	2151
914	22891	2126
915	22914	2101
916	22935	2075
917	22957	2050
918	22979	2025
919	23006	2000
920	23030	1975
921	23051	1950
922	23075	1925
923	23098	1899
924	23118	1874
925	23141	1849
926	23162	1824
927	23187	1799
