iter	RMSE
0	1092.819628
1	997.5200386
2	910.6682324
3	832.0087652
4	759.5131206
5	693.9913259
6	633.7577243
7	578.4959553
8	528.924662
9	483.6918618
10	442.7280751
11	404.6668886
12	369.7123026
13	337.7315842
14	308.7340899
15	282.6815516
16	258.7344117
17	236.4628439
18	216.5220291
19	197.9694002
20	181.5357346
21	166.2726338
22	152.3657603
23	139.7627993
24	128.2379397
25	117.8483719
26	108.1380207
27	99.38600927
28	91.3594181
29	84.0659157
30	77.3697662
31	71.41333526
32	65.91756633
33	60.85595267
34	56.30775686
35	52.18836019
36	48.54510225
37	45.05047515
38	42.00057422
39	39.24026829
40	36.73206938
41	34.56627002
42	32.56995132
43	30.75433868
44	29.1820934
45	27.79728929
46	26.50886627
47	25.43711955
48	24.48986412
49	23.65486387
50	22.88961441
51	22.2532857
52	21.65855109
53	21.14428005
54	20.69824302
55	20.30924935
56	19.98066919
57	19.67360289
58	19.3836711
59	19.16323365
60	18.93953997
61	18.70905421
62	18.50647189
63	18.31531641
64	18.16609116
65	18.04134057
66	17.92350659
67	17.80374638
68	17.60015785
69	17.46700112
70	17.32717215
71	17.19011656
72	17.0912045
73	16.98565768
74	16.88358618
75	16.74374624
76	16.63752256
77	16.5377482
78	16.34573732
79	16.2731601
80	16.16620616
81	16.07963099
82	16.02787011
83	15.97944882
84	15.93970974
85	15.88865055
86	15.80510361
87	15.71679751
88	15.66015223
89	15.60228457
90	15.55487434
91	15.48907131
92	15.38790825
93	15.3384324
94	15.28786546
95	15.15271667
96	15.09772413
97	15.04448227
98	15.00417822
99	14.97037353
100	14.86882783
101	14.78536105
102	14.71214853
103	14.66745595
104	14.61762179
105	14.60021715
106	14.59562722
107	14.55179439
108	14.51285584
109	14.38067574
110	14.35713308
111	14.32530625
112	14.2164592
113	14.11539843
114	14.03433559
115	13.9975003
116	13.88348957
117	13.85570914
118	13.77002487
119	13.74174867
120	13.66758034
121	13.63010341
122	13.53982326
123	13.43627942
124	13.35818539
125	13.27592504
126	13.20318533
127	13.13811832
128	13.0841453
129	13.02396406
130	12.94656055
131	12.88538234
132	12.81214485
133	12.77800265
134	12.71096157
135	12.67458878
136	12.64682033
137	12.61667944
138	12.56674471
139	12.54918324
140	12.49284093
141	12.44314156
142	12.39748272
143	12.3288666
144	12.26887343
145	12.2434112
146	12.17546083
147	12.10812991
148	12.06720797
149	12.02074557
150	11.94467029
151	11.88711789
152	11.8411001
153	11.79479972
154	11.77225485
155	11.73331376
156	11.67882392
157	11.64276541
158	11.61236838
159	11.55984012
160	11.54083689
161	11.50634191
162	11.4740861
163	11.410973
164	11.35420404
165	11.31165206
166	11.27762069
167	11.25487794
168	11.20809106
169	11.16977916
170	11.10554116
171	11.09127676
172	11.04007502
173	11.00226216
174	10.9565601
175	10.924928
176	10.8832708
177	10.87020352
178	10.85543187
179	10.83394604
180	10.80981788
181	10.75451879
182	10.72775593
183	10.69494875
184	10.67004331
185	10.63459021
186	10.61300667
187	10.57951836
188	10.50737882
189	10.47375654
190	10.45449023
191	10.41597379
192	10.36889468
193	10.35735445
194	10.33753601
195	10.29036363
196	10.27926696
197	10.23111525
198	10.20034319
199	10.18162078
200	10.11831159
201	10.10825458
202	10.09423106
203	10.06042298
204	10.02985128
205	10.01695429
206	10.0026707
207	9.993719625
208	9.942423324
209	9.888965089
210	9.859287032
211	9.82553064
212	9.801568387
213	9.755151133
214	9.730480045
215	9.691607511
216	9.667465387
217	9.612377049
218	9.586073955
219	9.547399821
220	9.513290103
221	9.482548411
222	9.446401002
223	9.427592569
224	9.39407264
225	9.365441865
226	9.324234424
227	9.315623212
228	9.296286802
229	9.274360535
230	9.247539205
231	9.21887661
232	9.191702254
233	9.157092911
234	9.132304607
235	9.102892138
236	9.078552862
237	9.036502859
238	9.014079755
239	8.992495163
240	8.976733226
241	8.958118295
242	8.946672245
243	8.916066025
244	8.903658651
245	8.884314938
246	8.854752826
247	8.835028058
248	8.804582414
249	8.785501819
250	8.75959888
251	8.749409214
252	8.739836422
253	8.721798724
254	8.698213142
255	8.691612258
256	8.669524536
257	8.652390089
258	8.641932007
259	8.615609882
260	8.57578756
261	8.557674387
262	8.547060439
263	8.530728066
264	8.490971743
265	8.471820311
266	8.449230844
267	8.437588417
268	8.415293249
269	8.395099245
270	8.387284102
271	8.379263348
272	8.360379381
273	8.334183723
274	8.30081822
275	8.275070167
276	8.26300023
277	8.238445846
278	8.220607993
279	8.185358166
280	8.165924305
281	8.156279616
282	8.149216243
283	8.132831263
284	8.114345678
285	8.100339095
286	8.078915426
287	8.064008197
288	8.041817854
289	8.011294035
290	7.986137192
291	7.979169628
292	7.963604452
293	7.942070253
294	7.935630145
295	7.910030437
296	7.884603723
297	7.871898375
298	7.848052489
299	7.839618455
300	7.825283022
301	7.816689144
302	7.798373759
303	7.786858339
304	7.781749639
305	7.758305488
306	7.753700203
307	7.740859201
308	7.721141776
309	7.716884313
310	7.690522157
311	7.685084508
312	7.669466337
313	7.657117929
314	7.641858525
315	7.631003971
316	7.613215253
